Time,Actual,Predicted
0,-6.995026308484125,
1,-6.995820638484809,
2,-6.99654592256012,
3,-6.997202153551797,
4,-6.997789324983098,
5,-6.998307431058889,
6,-6.998756466665663,
7,-6.999136427371625,
8,-6.999447309426713,
9,-6.999689109762648,
10,-6.99986182599296,
11,-6.999965456413007,
12,-7.0,
13,-6.999965456413007,
14,-6.99986182599296,
15,-6.999689109762648,
16,-6.999447309426713,
17,-6.999136427371625,
18,-6.998756466665663,
19,-6.998307431058889,
20,-6.9977893249831,
21,-6.997202153551797,
22,-6.996545922560121,
23,-6.995820638484809,
24,-6.995026308484125,
25,-6.99416294039778,
26,-6.993230542746872,
27,-6.99222912473379,
28,-6.991158696242122,
29,-6.990019267836568,
30,-6.988810850762826,
31,-6.9875334569474825,
32,-6.986187098997901,
33,-6.984771790202089,
34,-6.983287544528577,
35,-6.981734376626265,
36,-6.980112301824297,
37,-6.978421336131895,
38,-6.97666149623821,
39,-6.974832799512146,
40,-6.972935264002207,
41,-6.9709689084363,
42,-6.968933752221559,
43,-6.966829815444158,
44,-6.964657118869099,
45,-6.962415683940026,
46,-6.960105532778991,
47,-6.957726688186258,
48,-6.955279173640058,
49,-6.9527630132963765,
50,-6.950178231988695,
51,-6.947524855227764,
52,-6.944802909201345,
53,-6.942012420773938,
54,-6.939153417486546,
55,-6.93622592755637,
56,-6.933229979876559,
57,-6.930165604015903,
58,-6.927032830218558,
59,-6.923831689403732,
60,-6.920562213165396,
61,-6.917224433771963,
62,-6.913818384165962,
63,-6.910344097963735,
64,-6.906801609455075,
65,-6.903190953602923,
66,-6.899512166042985,
67,-6.895765283083419,
68,-6.891950341704438,
69,-6.888067379557976,
70,-6.884116434967307,
71,-6.880097546926652,
72,-6.876010755100821,
73,-6.87185609982479,
74,-6.867633622103339,
75,-6.86334336361061,
76,-6.85898536668973,
77,-6.85455967435236,
78,-6.850066330278302,
79,-6.845505378815053,
80,-6.840876864977351,
81,-6.836180834446772,
82,-6.831417333571229,
83,-6.826586409364565,
84,-6.821688109506038,
85,-6.816722482339904,
86,-6.811689576874886,
87,-6.806589442783733,
88,-6.801422130402716,
89,-6.796187690731114,
90,-6.7908861754307415,
91,-6.785517636825403,
92,-6.78008212790042,
93,-6.774579702302057,
94,-6.769010414337047,
95,-6.7633743189720015,
96,-6.757671471832913,
97,-6.751901929204586,
98,-6.746065748030064,
99,-6.740162985910113,
100,-6.734193701102599,
101,-6.728157952521965,
102,-6.722055799738599,
103,-6.715887302978302,
104,-6.70965252312163,
105,-6.703351521703351,
106,-6.696984360911813,
107,-6.690551103588307,
108,-6.6840518132265005,
109,-6.677486553971752,
110,-6.670855390620533,
111,-6.664158388619734,
112,-6.657395614066077,
113,-6.6505671337054,
114,-6.643673014932056,
115,-6.636713325788223,
116,-6.629688134963206,
117,-6.622597511792818,
118,-6.61544152625863,
119,-6.608220248987349,
120,-6.600933751250048,
121,-6.593582104961537,
122,-6.586165382679576,
123,-6.578683657604233,
124,-6.571137003577118,
125,-6.563525495080644,
126,-6.5558492072373475,
127,-6.548108215809068,
128,-6.540302597196286,
129,-6.532432428437288,
130,-6.524497787207479,
131,-6.516498751818547,
132,-6.508435401217754,
133,-6.500307814987122,
134,-6.492116073342624,
135,-6.483860257133467,
136,-6.475540447841203,
137,-6.467156727579009,
138,-6.458709179090801,
139,-6.450197885750492,
140,-6.44162293156109,
141,-6.432984401153943,
142,-6.424282379787867,
143,-6.4155169533482805,
144,-6.406688208346424,
145,-6.397796231918424,
146,-6.3888411118245205,
147,-6.379822936448114,
148,-6.370741794794972,
149,-6.361597776492278,
150,-6.352390971787812,
151,-6.343121471549027,
152,-6.333789367262131,
153,-6.324394751031244,
154,-6.3149377155774165,
155,-6.305418354237788,
156,-6.295836760964594,
157,-6.286193030324312,
158,-6.276487257496649,
159,-6.266719538273685,
160,-6.256889969058846,
161,-6.24699864686602,
162,-6.237045669318576,
163,-6.227031134648359,
164,-6.216955141694813,
165,-6.206817789903892,
166,-6.196619179327189,
167,-6.186359410620852,
168,-6.176038585044677,
169,-6.165656804461024,
170,-6.155214171333888,
171,-6.144710788727852,
172,-6.13414676030704,
173,-6.123522190334171,
174,-6.112837183669437,
175,-6.102091845769565,
176,-6.091286282686677,
177,-6.080420601067343,
178,-6.0694949081514284,
179,-6.058509311771126,
180,-6.047463920349847,
181,-6.036358842901122,
182,-6.025194189027606,
183,-6.013970068919902,
184,-6.002686593355569,
185,-5.991343873697929,
186,-5.97994202189507,
187,-5.968481150478644,
188,-5.956961372562835,
189,-5.945382801843216,
190,-5.9337455525955765,
191,-5.922049739674897,
192,-5.910295478514101,
193,-5.898482885123029,
194,-5.8866120760871805,
195,-5.874683168566676,
196,-5.862696280294991,
197,-5.850651529577884,
198,-5.838549035292198,
199,-5.826388916884638,
200,-5.8141712943706905,
201,-5.801896288333329,
202,-5.789564019921936,
203,-5.777174610850993,
204,-5.764728183398997,
205,-5.75222486040713,
206,-5.739664765278159,
207,-5.727048021975164,
208,-5.714374755020282,
209,-5.701645089493567,
210,-5.688859151031653,
211,-5.676017065826617,
212,-5.663118960624629,
213,-5.650164962724807,
214,-5.637155199977852,
215,-5.624089800784885,
216,-5.610968894096136,
217,-5.597792609409627,
218,-5.584561076769997,
219,-5.571274426767105,
220,-5.557932790534851,
221,-5.544536299749766,
222,-5.5310850866298376,
223,-5.517579283933078,
224,-5.504019024956323,
225,-5.49040444353387,
226,-5.476735674036109,
227,-5.463012851368309,
228,-5.449236110969158,
229,-5.435405588809554,
230,-5.421521421391134,
231,-5.407583745745056,
232,-5.393592699430522,
233,-5.379548420533527,
234,-5.365451047665448,
235,-5.351300719961634,
236,-5.3370975770801365,
237,-5.32284175920021,
238,-5.308533407021057,
239,-5.294172661760301,
240,-5.279759665152731,
241,-5.265294559448777,
242,-5.250777487413207,
243,-5.236208592323677,
244,-5.2215880179692675,
245,-5.206915908649177,
246,-5.192192409171168,
247,-5.177417664850271,
248,-5.162591821507214,
249,-5.147715025467116,
250,-5.132787423557917,
251,-5.117809163109039,
252,-5.10278039194988,
253,-5.087701258408311,
254,-5.072571911309328,
255,-5.057392499973442,
256,-5.042163174215352,
257,-5.026884084342317,
258,-5.011555381152824,
259,-4.996177215934947,
260,-4.980749740464987,
261,-4.965273107005917,
262,-4.949747468305825,
263,-4.934172977596532,
264,-4.918549788591937,
265,-4.9028780554866485,
266,-4.887157932954305,
267,-4.871389576146205,
268,-4.855573140689632,
269,-4.839708782686435,
270,-4.823796658711439,
271,-4.807836925810848,
272,-4.7918297415008215,
273,-4.775775263765769,
274,-4.7596736510569375,
275,-4.74352506229071,
276,-4.727329656847176,
277,-4.71108759456841,
278,-4.694799035757029,
279,-4.67846414117455,
280,-4.662083072039753,
281,-4.645655990027211,
282,-4.629183057265556,
283,-4.612664436336023,
284,-4.59610029027069,
285,-4.579490782551033,
286,-4.562836077106147,
287,-4.546136338311274,
288,-4.529391730986109,
289,-4.51260242039313,
290,-4.4957685722360905,
291,-4.478890352658242,
292,-4.461967928240832,
293,-4.445001466001319,
294,-4.427991133391877,
295,-4.41093709829758,
296,-4.393839529034892,
297,-4.376698594349935,
298,-4.359514463416779,
299,-4.342287305835892,
300,-4.325017291632332,
301,-4.307704591254204,
302,-4.29034937557083,
303,-4.272951815871224,
304,-4.255512083862235,
305,-4.238030351666998,
306,-4.220506791823172,
307,-4.2029415772811785,
308,-4.185334881402634,
309,-4.167686877958477,
310,-4.149997741127418,
311,-4.132267645494056,
312,-4.114496766047317,
313,-4.096685278178567,
314,-4.078833357680019,
315,-4.060941180742944,
316,-4.043008923955862,
317,-4.025036764302951,
318,-4.007024879162128,
319,-3.988973446303469,
320,-3.9708826438872893,
321,-3.952752650462545,
322,-3.9345836449649103,
323,-3.916375806715156,
324,-3.898129315417315,
325,-3.8798443511568483,
326,-3.8615210943990133,
327,-3.8431597259869146,
328,-3.824760427139887,
329,-3.8063233794515416,
330,-3.787848764888136,
331,-3.7693367657866177,
332,-3.750787564852964,
333,-3.7322013451603193,
334,-3.713578290147128,
335,-3.694918583615465,
336,-3.676222409729061,
337,-3.657489953011646,
338,-3.6387213983449604,
339,-3.6199169309671064,
340,-3.601076736470541,
341,-3.5822010008004015,
342,-3.5632899102525983,
343,-3.5443436514719173,
344,-3.525362411450327,
345,-3.506346377524961,
346,-3.487295737376439,
347,-3.4682106790268468,
348,-3.449091390838047,
349,-3.429938061509652,
350,-3.410750880077313,
351,-3.3915300359107845,
352,-3.3722757187119954,
353,-3.352988118513328,
354,-3.3336674256755643,
355,-3.314313830886188,
356,-3.294927525157321,
357,-3.275508699824019,
358,-3.2560575465422046,
359,-3.236574257286928,
360,-3.217059024350413,
361,-3.1975120403400847,
362,-3.177933498176828,
363,-3.158323591092906,
364,-3.1386825126302287,
365,-3.119010456638267,
366,-3.0993076172723164,
367,-3.079574188991401,
368,-3.059810366556516,
369,-3.04001634502863,
370,-3.020192319766701,
371,-3.000338486425899,
372,-2.9804550409554995,
373,-2.960542179597126,
374,-2.940600098882636,
375,-2.9206289956323626,
376,-2.9006290669529844,
377,-2.880600510235769,
378,-2.860543523154441,
379,-2.840458303663388,
380,-2.820345049995639,
381,-2.8002039606608435,
382,-2.780035234443467,
383,-2.7598390704006492,
384,-2.739615667860422,
385,-2.7193652264195576,
386,-2.699087945941784,
387,-2.678784026555626,
388,-2.658453668652595,
